ticker,n,base,std,ovs,mid,cross,green3,panic3,gapsoft,z11,wtop,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,cluster
DASH,8867,0.354,7.271,0.748,0.081,0.224,-0.297,0.929,0.188,0.526,-2.823,0.394,-0.273,-0.13,-0.651,0.575,-0.166,0.172,2
DAVE,4551,1.353,18.728,-0.519,1.568,1.889,1.079,0.701,0.889,1.688,-17.536,-1.872,0.215,0.536,-0.274,-0.652,-0.464,0.335,0
DAY,3503,0.014,5.675,0.278,0.087,0.044,-0.092,0.348,-0.341,0.305,-1.016,0.264,0.072,0.029,-0.106,0.333,-0.355,0.291,2
DBX,8867,0.331,4.558,0.741,0.28,0.491,0.3,0.491,1.003,0.88,-3.373,0.41,-0.051,0.16,-0.032,0.159,0.672,0.548,2
DD,8867,0.122,4.237,0.739,0.085,0.076,-0.152,0.941,0.385,0.011,1.38,0.617,-0.037,-0.046,-0.274,0.819,0.263,-0.111,2
DDOG,8867,0.435,8.085,0.857,0.0,0.608,0.491,0.927,0.154,-0.366,-0.154,0.422,-0.435,0.173,0.056,0.491,-0.281,-0.802,2
DE,8867,0.28,4.123,0.925,0.342,0.297,0.05,0.099,0.314,1.027,-2.581,0.645,0.062,0.017,-0.23,-0.181,0.034,0.747,2
DG,8867,-0.088,5.081,-0.153,-0.05,-0.424,-0.177,0.042,-0.145,0.804,-1.879,-0.065,0.038,-0.336,-0.089,0.13,-0.057,0.892,2
DGII,5555,0.819,7.058,0.944,1.209,1.376,0.77,0.593,1.027,1.122,-4.409,0.125,0.39,0.557,-0.049,-0.226,0.209,0.303,2
DHI,8867,0.12,4.743,0.141,0.294,0.249,-0.401,0.206,0.232,-0.502,-1.356,0.022,0.174,0.13,-0.521,0.087,0.113,-0.621,2
DHR,8867,0.036,3.954,0.385,0.035,0.172,0.062,0.424,0.468,0.11,-0.469,0.349,-0.002,0.135,0.025,0.388,0.432,0.074,2
DIOD,8790,0.078,6.591,0.062,0.154,-0.273,0.378,0.859,-0.313,0.232,-1.886,-0.016,0.076,-0.351,0.3,0.781,-0.392,0.153,2
DIS,8867,-0.182,4.178,-0.063,-0.371,-0.623,-0.148,0.062,-0.081,0.747,-2.199,0.119,-0.189,-0.441,0.035,0.244,0.101,0.929,2
DJT,4077,-2.214,13.575,-3.75,-2.481,-0.586,-0.69,-2.13,-0.164,-3.619,-4.861,-1.536,-0.267,1.628,1.524,0.084,2.051,-1.404,1
DKNG,8867,0.058,8.876,-0.223,0.353,0.04,0.015,-0.374,0.807,0.445,-3.747,-0.281,0.295,-0.018,-0.043,-0.432,0.748,0.387,2
DLO,8640,-0.44,10.209,1.046,-0.202,-1.162,-1.414,0.68,-1.329,-0.182,-4.841,1.486,0.238,-0.722,-0.974,1.119,-0.889,0.258,3
DLR,8867,0.209,4.005,0.119,0.301,0.353,0.323,0.317,-0.283,0.498,-1.103,-0.09,0.092,0.144,0.113,0.108,-0.492,0.289,2
DLTR,8867,0.221,5.608,-0.315,0.17,0.563,0.161,-0.423,0.045,0.493,0.268,-0.535,-0.05,0.342,-0.059,-0.643,-0.176,0.273,2
DNLI,8836,-0.512,8.165,-0.058,-0.477,-1.398,-1.485,0.246,-0.386,0.319,-3.736,0.454,0.035,-0.886,-0.973,0.758,0.126,0.831,3
DNTH,3069,1.796,12.043,2.623,1.857,1.768,2.889,1.203,3.182,-2.413,-1.447,0.827,0.061,-0.028,1.093,-0.593,1.386,-4.208,1
DNUT,6421,-0.457,6.605,-0.757,0.0,-0.221,-0.581,-0.756,-0.099,-1.687,-1.113,-0.3,0.457,0.236,-0.124,-0.3,0.358,-1.23,2
DOCN,8867,0.238,10.125,0.79,0.149,0.577,0.129,2.113,0.401,0.175,-3.697,0.553,-0.089,0.339,-0.109,1.875,0.163,-0.063,3
DOCU,8867,-0.275,8.078,-0.288,-0.074,-0.095,-0.385,0.014,-0.165,-0.188,-4.588,-0.014,0.201,0.18,-0.11,0.289,0.11,0.087,2
DOMO,5528,-1.378,11.966,0.0,-2.133,-1.349,-0.693,-2.446,-0.81,-4.691,-4.947,1.378,-0.755,0.03,0.685,-1.068,0.568,-3.313,1
DORM,7354,-0.072,5.018,0.052,-0.04,-0.128,0.082,0.316,-0.337,1.452,-1.607,0.125,0.033,-0.056,0.155,0.388,-0.264,1.524,2
DOV,8867,0.258,3.346,0.017,0.198,0.215,0.032,0.415,0.121,0.312,0.324,-0.241,-0.059,-0.043,-0.226,0.157,-0.137,0.054,2
DOW,8867,-0.194,4.729,-0.21,0.087,-0.439,-0.241,-0.125,0.217,-1.052,-2.751,-0.016,0.281,-0.246,-0.047,0.069,0.411,-0.858,2
DOX,8867,0.012,2.797,0.146,-0.024,-0.18,-0.146,0.032,0.132,0.594,-3.035,0.135,-0.035,-0.192,-0.157,0.021,0.12,0.583,2
DPZ,8867,-0.15,4.047,0.014,-0.041,-0.154,-0.406,0.084,-0.133,0.053,-2.163,0.164,0.108,-0.004,-0.257,0.234,0.016,0.203,2
DRH,8810,0.118,4.508,1.032,0.0,-0.253,0.109,0.847,0.814,-0.312,-2.591,0.914,-0.118,-0.371,-0.009,0.729,0.696,-0.43,2
DRI,8867,0.058,3.62,0.748,0.212,-0.101,-0.222,0.782,0.192,0.39,0.037,0.69,0.153,-0.159,-0.28,0.723,0.134,0.332,2
DRS,6169,0.737,5.042,1.509,0.944,0.724,0.072,1.499,0.591,2.282,1.213,0.772,0.207,-0.013,-0.665,0.762,-0.146,1.545,2
DRVN,8502,0.036,6.087,0.751,0.123,0.284,-0.82,1.372,-0.683,1.736,-0.285,0.715,0.088,0.248,-0.856,1.336,-0.719,1.7,2
DSGX,8236,0.103,4.375,0.388,0.202,0.529,-0.079,0.363,-0.191,0.318,0.038,0.284,0.099,0.426,-0.182,0.26,-0.295,0.215,2
DTE,8867,0.194,2.631,0.1,0.37,0.229,0.257,0.199,0.137,0.067,0.077,-0.093,0.176,0.035,0.063,0.006,-0.057,-0.127,2
DUK,8867,0.171,2.519,0.148,0.29,0.185,0.133,0.154,0.326,0.721,-1.831,-0.023,0.119,0.014,-0.039,-0.018,0.155,0.55,2
DUOL,8740,-0.253,9.262,0.288,-0.915,-0.517,-0.553,0.071,0.756,-1.808,-5.41,0.541,-0.663,-0.264,-0.301,0.324,1.009,-1.556,1
DVA,8867,0.314,5.322,1.137,0.352,0.325,-0.041,0.571,0.274,0.564,-0.25,0.823,0.038,0.011,-0.355,0.258,-0.04,0.25,2
DVN,8867,0.409,5.832,0.559,0.241,0.685,0.491,0.333,-0.028,1.697,-0.549,0.15,-0.168,0.276,0.082,-0.076,-0.437,1.288,2
DXCM,8867,0.146,6.425,0.309,0.627,0.159,-0.239,0.68,0.03,1.159,-2.279,0.162,0.481,0.013,-0.385,0.534,-0.116,1.013,2
DXPE,4015,1.805,9.242,1.642,1.453,1.623,1.268,1.721,1.675,1.527,-1.319,-0.163,-0.352,-0.181,-0.536,-0.084,-0.13,-0.278,2
DYN,5904,0.218,12.985,-0.997,0.462,0.041,-0.057,-0.704,-0.759,1.784,-4.571,-1.215,0.244,-0.177,-0.275,-0.922,-0.977,1.566,0
EA,8867,0.212,3.54,0.396,0.288,0.166,0.151,0.437,0.348,0.597,-0.569,0.184,0.076,-0.046,-0.062,0.225,0.136,0.385,2
EBAY,8867,0.317,4.327,0.72,0.635,0.415,0.025,0.722,0.134,0.311,-3.599,0.404,0.318,0.099,-0.292,0.406,-0.183,-0.006,2
EBC,8594,0.181,4.374,0.0,0.563,0.11,0.0,0.205,0.565,-0.091,-1.762,-0.181,0.382,-0.071,-0.181,0.024,0.384,-0.272,2
ECL,8867,0.41,3.327,0.213,0.422,0.514,0.356,0.003,0.537,0.633,-1.02,-0.197,0.012,0.104,-0.054,-0.407,0.127,0.224,2
ECPG,6831,0.539,6.003,0.373,0.447,0.404,0.295,0.282,0.3,0.869,0.082,-0.167,-0.093,-0.136,-0.244,-0.258,-0.239,0.329,2
ED,8867,0.21,2.675,-0.101,0.245,0.448,0.048,-0.033,0.477,0.31,-2.601,-0.311,0.035,0.238,-0.162,-0.243,0.267,0.101,2
EDIT,5331,-1.997,10.695,-2.315,-1.281,-2.812,-2.842,-1.134,0.497,-1.35,-3.883,-0.319,0.716,-0.816,-0.845,0.862,2.493,0.646,3
EEFT,8860,-0.101,5.019,0.014,0.098,0.128,0.111,-0.139,-0.33,-0.497,-1.644,0.115,0.198,0.229,0.212,-0.038,-0.23,-0.396,2
EFSC,5363,-0.049,5.044,0.07,-0.054,-0.486,-0.466,0.15,-0.143,-0.437,-1.971,0.12,-0.004,-0.437,-0.417,0.2,-0.093,-0.388,2
EFX,8867,0.05,4.656,0.121,-0.013,0.113,-0.383,-0.224,-0.333,-0.39,-0.212,0.07,-0.064,0.063,-0.433,-0.274,-0.384,-0.44,2
EG,5334,0.313,3.161,1.637,0.421,0.065,-0.029,0.708,-0.366,0.316,-0.503,1.324,0.107,-0.248,-0.342,0.395,-0.679,0.002,2
EGBN,5571,-0.486,7.648,-1.511,-0.754,-0.942,-0.238,-0.716,-0.714,-1.673,-2.43,-1.025,-0.268,-0.456,0.248,-0.23,-0.228,-1.187,1
EIX,8867,0.397,3.634,-0.046,0.596,0.479,0.292,0.517,0.469,1.088,-1.203,-0.443,0.2,0.082,-0.105,0.12,0.073,0.691,2
EL,8867,-0.267,5.869,-0.108,-0.484,-0.242,-0.515,-0.507,-0.136,0.128,-3.823,0.159,-0.217,0.025,-0.248,-0.24,0.131,0.395,2
ELV,7134,0.104,4.041,0.898,0.1,0.073,-0.211,0.807,0.193,0.63,-0.368,0.794,-0.004,-0.031,-0.315,0.703,0.089,0.526,2
ELVN,3200,0.574,13.414,1.783,1.392,-1.25,0.422,0.549,0.388,-1.345,-1.274,1.209,0.818,-1.824,-0.153,-0.025,-0.186,-1.919,3
EMBC,5503,-1.306,8.832,-0.169,-1.341,-1.393,-1.838,-0.966,-1.576,-3.843,-5.724,1.138,-0.035,-0.087,-0.532,0.341,-0.27,-2.537,3
EMN,8867,-0.122,4.317,0.432,-0.095,-0.346,-0.428,0.277,-0.57,-0.289,-0.863,0.553,0.027,-0.225,-0.306,0.399,-0.448,-0.168,2
EMR,8867,0.251,3.832,0.686,0.129,0.238,0.37,0.739,0.41,0.853,-1.685,0.435,-0.122,-0.012,0.119,0.488,0.159,0.602,2
ENPH,8867,-0.347,9.942,-0.804,0.307,-1.072,-0.303,-0.204,-0.491,1.44,-2.989,-0.457,0.655,-0.724,0.045,0.144,-0.144,1.787,2
ENSG,8816,0.212,3.544,0.495,0.187,0.0,0.193,0.732,-0.352,0.1,-1.44,0.283,-0.025,-0.212,-0.019,0.52,-0.564,-0.112,2
ENTA,3890,-0.583,12.784,-2.047,-2.598,1.102,0.591,-2.026,3.073,-0.936,-3.648,-1.464,-2.015,1.685,1.174,-1.443,3.656,-0.354,1
ENTG,8867,0.342,6.967,0.419,0.661,-0.026,0.467,0.497,0.17,0.058,-2.033,0.077,0.319,-0.368,0.125,0.155,-0.171,-0.284,2
ENVX,8658,-0.941,13.42,-0.189,-1.172,-1.338,-0.106,-1.173,0.268,-0.156,-3.462,0.751,-0.232,-0.397,0.835,-0.232,1.209,0.785,1
EOG,8867,0.429,4.63,0.798,0.288,0.6,0.16,0.645,0.213,0.785,-1.148,0.369,-0.141,0.171,-0.269,0.216,-0.216,0.356,2
EOLS,5326,-0.301,11.378,-1.0,0.167,0.429,-0.183,-0.06,1.469,0.383,-1.984,-0.699,0.469,0.73,0.118,0.241,1.77,0.684,0
EPAM,8867,-0.164,8.02,-0.583,-0.067,-0.095,-0.099,-0.843,-0.301,0.988,-1.311,-0.419,0.097,0.069,0.065,-0.679,-0.137,1.152,2
EQIX,8867,0.203,3.662,0.775,0.3,0.031,0.029,0.824,0.1,0.228,-1.29,0.572,0.097,-0.171,-0.173,0.621,-0.103,0.025,2
EQR,8867,0.127,3.013,0.281,0.13,0.178,0.125,0.272,-0.008,-0.131,-0.908,0.154,0.003,0.051,-0.002,0.145,-0.135,-0.258,2
EQT,8867,0.331,6.072,1.033,0.48,0.0,0.524,0.57,1.118,0.295,-0.123,0.702,0.15,-0.331,0.193,0.239,0.787,-0.035,2
ERIE,8183,0.175,4.647,0.439,0.214,-0.182,0.161,-0.082,0.163,0.491,-0.707,0.264,0.038,-0.357,-0.014,-0.257,-0.012,0.315,2
ERII,6343,0.063,7.644,0.138,0.143,0.309,-0.397,-0.151,-0.337,1.011,-2.92,0.075,0.08,0.246,-0.46,-0.213,-0.4,0.948,0
ES,8867,0.205,3.292,-0.047,0.388,0.26,0.165,0.214,0.352,0.499,-0.199,-0.252,0.184,0.055,-0.04,0.009,0.147,0.294,2
ESLT,5128,0.96,6.068,1.089,1.113,1.52,0.82,0.33,-0.09,-0.178,-2.719,0.129,0.153,0.56,-0.14,-0.63,-1.05,-1.138,2
ESS,8867,0.142,3.192,0.39,0.331,0.115,0.055,0.586,-0.001,0.577,0.246,0.248,0.189,-0.026,-0.087,0.444,-0.143,0.435,2
ESTA,7751,0.629,9.316,1.413,1.777,1.042,0.259,1.272,1.604,0.596,1.267,0.784,1.147,0.413,-0.37,0.642,0.975,-0.033,2
ESTC,8867,0.198,8.414,1.659,0.462,-0.038,-0.228,0.901,0.295,0.156,-2.711,1.46,0.264,-0.236,-0.426,0.703,0.097,-0.043,3
ETN,8867,0.609,3.993,0.476,1.042,0.653,0.45,0.839,0.423,1.15,-0.272,-0.133,0.433,0.044,-0.159,0.23,-0.186,0.541,2
ETR,8867,0.375,2.979,0.815,0.565,0.135,0.21,0.501,0.371,0.426,-1.004,0.44,0.19,-0.24,-0.165,0.126,-0.004,0.051,2
EVER,5820,0.042,11.994,-0.418,-0.298,0.127,-0.942,-0.494,0.125,0.723,-8.757,-0.46,-0.34,0.085,-0.984,-0.537,0.082,0.681,0
EVGO,3546,-1.498,12.714,0.345,-2.473,-1.007,-1.378,0.449,-3.399,0.253,-2.524,1.842,-0.975,0.491,0.119,1.947,-1.901,1.751,3
EVRG,8867,0.309,2.693,0.133,0.359,0.226,0.4,0.424,0.362,0.454,-2.265,-0.177,0.049,-0.084,0.091,0.115,0.052,0.145,2
EW,8867,0.053,4.504,-0.19,0.415,0.291,-0.338,0.347,-0.226,0.864,-1.601,-0.243,0.362,0.238,-0.391,0.294,-0.279,0.811,2
EWBC,8867,0.374,4.95,0.313,0.711,0.454,0.396,0.8,0.511,0.712,0.459,-0.061,0.337,0.08,0.022,0.426,0.138,0.338,2
EWTX,5146,0.169,13.328,0.047,0.559,-0.273,-1.262,1.494,-0.672,-0.948,0.486,-0.122,0.39,-0.441,-1.431,1.326,-0.841,-1.116,3
EXC,8867,0.233,3.276,-0.05,0.451,0.297,0.092,0.635,0.351,0.728,-0.68,-0.284,0.217,0.063,-0.142,0.402,0.117,0.495,2
EXE,3163,0.386,4.243,-0.781,0.429,0.274,0.608,-0.484,0.903,0.592,-2.022,-1.167,0.043,-0.111,0.222,-0.87,0.518,0.206,2
EXEL,8867,0.409,4.837,1.055,0.458,0.242,0.144,0.888,0.158,1.342,-2.292,0.646,0.05,-0.166,-0.265,0.479,-0.25,0.933,2
EXLS,8835,0.381,4.575,0.782,0.523,0.171,0.281,0.535,0.456,0.622,-0.75,0.401,0.143,-0.21,-0.1,0.154,0.075,0.241,2
EXPD,8867,0.28,3.546,0.686,0.658,0.434,0.141,0.552,0.08,-0.23,-1.012,0.407,0.378,0.154,-0.139,0.273,-0.2,-0.509,2
EXPE,8867,0.425,6.486,0.793,0.679,0.239,0.65,0.689,0.131,0.005,-2.364,0.368,0.255,-0.185,0.225,0.265,-0.293,-0.42,2
EXPO,8717,0.028,4.242,-0.073,0.065,-0.227,-0.231,-0.003,-0.105,0.052,-2.467,-0.101,0.037,-0.255,-0.259,-0.031,-0.133,0.024,2
EXR,8867,0.141,3.947,-0.816,0.138,0.547,0.222,-0.548,0.667,0.711,-1.117,-0.957,-0.002,0.406,0.081,-0.689,0.526,0.57,2
EXTR,8722,0.356,6.874,0.339,0.426,-0.314,0.753,-0.112,1.043,-0.204,-0.68,-0.016,0.07,-0.67,0.397,-0.468,0.688,-0.56,2
EYE,8862,0.086,7.415,0.396,0.0,0.153,-0.09,0.791,0.192,0.356,0.753,0.311,-0.086,0.067,-0.176,0.705,0.106,0.27,2
EYPT,4869,-0.572,14.661,0.753,-1.301,-0.147,-0.892,0.044,-4.44,-3.354,-4.538,1.325,-0.729,0.425,-0.32,0.616,-3.868,-2.782,3
EZPW,4877,1.145,6.323,0.759,1.291,1.2,0.887,1.672,1.549,1.504,-2.241,-0.387,0.146,0.054,-0.258,0.527,0.404,0.359,2
F,8867,0.216,5.642,0.259,0.18,0.0,0.251,0.147,0.235,0.542,-1.558,0.043,-0.035,-0.216,0.035,-0.069,0.02,0.326,2
FA,6448,0.101,7.242,0.487,0.325,0.244,-0.222,0.971,-0.959,-0.219,-3.543,0.385,0.224,0.143,-0.323,0.87,-1.061,-0.32,3
FANG,8867,0.409,5.317,1.321,0.145,0.083,0.352,0.92,0.392,0.628,-1.477,0.911,-0.264,-0.327,-0.057,0.511,-0.017,0.219,2
FAST,8867,0.288,3.301,0.15,0.461,0.433,0.446,0.242,0.44,-0.851,-2.575,-0.138,0.173,0.145,0.158,-0.046,0.152,-1.139,2
FATE,3885,-1.972,10.921,-0.844,-0.429,-1.655,-3.457,-1.154,-0.937,-4.076,-3.438,1.128,1.543,0.317,-1.485,0.818,1.035,-2.104,3
FBNC,5034,0.08,5.772,-0.231,0.309,0.346,-0.069,0.466,-1.096,0.737,-3.528,-0.311,0.229,0.266,-0.149,0.385,-1.176,0.657,2
FCEL,8195,-2.033,14.183,-1.41,-2.376,-1.81,-3.315,-1.54,0.141,-0.748,-3.725,0.623,-0.344,0.223,-1.282,0.493,2.174,1.285,3
FCFS,8642,0.486,3.912,0.407,0.828,0.611,0.393,0.217,0.274,0.502,-0.397,-0.08,0.342,0.124,-0.093,-0.27,-0.212,0.016,2
FCNCA,8795,0.272,5.929,0.453,0.391,0.088,0.25,0.336,-0.138,-0.819,-1.879,0.182,0.12,-0.184,-0.021,0.064,-0.409,-1.091,2
FCX,8867,0.334,6.356,0.627,0.52,-0.05,0.077,0.561,0.267,1.083,-0.896,0.292,0.186,-0.384,-0.257,0.227,-0.067,0.748,2
FDMT,4972,-0.918,15.229,-0.477,-0.105,-0.771,-1.964,0.272,-2.19,-1.662,-6.492,0.441,0.813,0.147,-1.046,1.19,-1.272,-0.744,3
FDS,8867,0.201,4.171,-0.225,0.249,0.487,0.238,0.02,0.106,0.108,-0.782,-0.426,0.049,0.286,0.037,-0.181,-0.094,-0.092,2
FDUS,3402,0.0,3.939,1.261,-0.054,0.187,-0.601,0.102,1.32,0.103,-3.691,1.261,-0.054,0.187,-0.601,0.102,1.32,0.103,2
FDX,8867,0.378,4.625,0.785,0.573,0.281,-0.043,0.717,0.398,-0.126,-0.218,0.407,0.195,-0.096,-0.42,0.339,0.02,-0.504,2
FE,8867,0.225,2.709,0.039,0.375,0.301,0.102,0.062,0.296,0.062,-0.859,-0.186,0.15,0.076,-0.123,-0.163,0.071,-0.163,2
FELE,7986,0.112,3.677,0.448,0.522,-0.163,0.19,0.91,0.117,0.44,-1.223,0.336,0.41,-0.275,0.079,0.798,0.005,0.328,2
FFBC,6194,0.126,4.834,0.481,0.051,-0.184,0.0,0.963,0.537,-1.432,-2.01,0.354,-0.075,-0.311,-0.126,0.837,0.411,-1.558,2
FFIN,8767,-0.103,4.216,-0.11,0.0,0.049,-0.23,0.207,0.281,-0.743,0.375,-0.008,0.103,0.151,-0.128,0.31,0.384,-0.64,2
FFIV,8867,0.547,4.0,1.0,0.846,0.252,0.183,0.964,0.388,0.773,-0.746,0.453,0.299,-0.295,-0.364,0.417,-0.159,0.226,2
FHB,8819,0.038,4.194,0.338,0.293,-0.502,-0.216,0.691,0.117,0.471,-1.622,0.3,0.255,-0.54,-0.253,0.654,0.079,0.433,2
FIBK,8697,0.058,4.498,0.511,0.122,-0.417,-0.272,0.599,-0.137,-0.13,-1.516,0.453,0.064,-0.475,-0.33,0.541,-0.195,-0.188,2
FICO,8865,0.465,6.027,0.473,0.19,0.493,0.68,0.724,0.092,-0.14,-1.666,0.008,-0.275,0.028,0.215,0.26,-0.373,-0.605,2
FIS,8867,-0.046,4.662,0.109,0.0,0.16,-0.37,-0.06,-0.474,-0.333,-1.171,0.154,0.046,0.206,-0.324,-0.014,-0.428,-0.287,2
FISV,4615,0.245,5.608,0.357,0.997,0.128,0.03,0.859,0.756,-0.387,0.753,0.112,0.752,-0.117,-0.215,0.615,0.511,-0.632,2
FITB,8867,0.265,4.487,0.222,0.474,0.23,0.253,0.03,-0.333,-0.784,-1.186,-0.043,0.209,-0.035,-0.012,-0.235,-0.598,-1.049,2
