ticker,n,base,std,ovs,mid,cross,green3,panic3,gapsoft,z11,wtop,r_ovs,r_mid,r_cross,r_green3,r_panic3,r_gapsoft,r_z11,cluster
FRT,8867,0.078,3.154,0.511,0.281,0.0,-0.036,0.4,-0.103,0.46,-1.127,0.432,0.203,-0.078,-0.114,0.322,-0.181,0.382,2
FSLR,8867,0.11,7.983,1.603,0.178,0.054,0.278,0.671,1.065,1.42,-0.271,1.493,0.068,-0.056,0.168,0.561,0.955,1.31,2
FTNT,8867,0.625,6.128,1.81,0.664,0.903,0.66,0.913,0.677,1.042,-1.075,1.185,0.039,0.278,0.036,0.288,0.052,0.417,2
FTV,8867,0.181,3.431,0.39,0.507,0.352,-0.071,0.57,0.197,0.631,-0.908,0.209,0.326,0.171,-0.251,0.389,0.016,0.45,2
GD,8867,0.306,2.775,0.841,0.638,0.258,0.079,0.904,0.536,0.259,0.979,0.535,0.332,-0.049,-0.227,0.598,0.23,-0.048,2
GDDY,8867,0.186,4.555,0.356,0.226,-0.047,0.135,0.322,0.186,-0.488,-0.982,0.17,0.039,-0.234,-0.051,0.135,-0.001,-0.675,2
GE,8867,0.966,4.323,0.46,1.206,1.18,0.792,1.413,1.259,0.681,-0.231,-0.506,0.241,0.214,-0.173,0.447,0.293,-0.285,2
GEHC,6220,0.049,4.451,0.624,0.321,-0.438,0.0,0.452,-0.143,-1.127,-1.519,0.576,0.272,-0.487,-0.049,0.403,-0.192,-1.176,1
GEN,6483,0.183,4.639,0.473,0.303,0.165,-0.08,0.017,-0.264,-0.09,-1.479,0.29,0.12,-0.017,-0.262,-0.166,-0.446,-0.272,2
GEV,4049,1.94,6.518,3.576,2.145,1.696,1.646,3.61,2.545,1.559,2.319,1.636,0.205,-0.244,-0.294,1.67,0.605,-0.381,2
GILD,8867,0.191,3.304,0.051,-0.006,0.207,-0.071,0.199,-0.17,-0.26,-1.629,-0.139,-0.197,0.017,-0.262,0.008,-0.361,-0.451,0
GIS,8867,-0.174,2.915,-0.293,-0.22,-0.203,-0.166,-0.294,0.116,-1.517,-2.592,-0.119,-0.047,-0.029,0.007,-0.12,0.289,-1.343,0
GL,8867,0.38,4.497,1.133,0.619,0.274,0.246,0.896,0.334,0.028,-1.639,0.754,0.239,-0.106,-0.134,0.516,-0.045,-0.352,2
GLW,8867,0.408,5.525,-0.245,0.471,0.448,0.233,0.309,0.08,0.101,-0.198,-0.653,0.063,0.04,-0.175,-0.099,-0.328,-0.307,0
GM,8867,0.132,5.113,0.203,0.241,0.06,-0.197,0.404,-0.35,-0.151,0.136,0.071,0.109,-0.072,-0.329,0.272,-0.482,-0.283,2
GNRC,8867,0.094,7.51,-0.259,0.161,0.458,0.135,0.132,-0.804,-0.203,-0.523,-0.352,0.067,0.364,0.041,0.038,-0.898,-0.297,0
GOLD,7874,-0.053,6.943,0.221,-0.635,0.218,0.275,0.515,-0.198,-0.714,-1.863,0.274,-0.582,0.271,0.327,0.568,-0.145,-0.661,0
GOOG,8867,0.474,4.321,0.994,0.684,0.254,0.53,0.952,0.995,0.487,-3.721,0.519,0.21,-0.221,0.055,0.477,0.521,0.013,2
GOOGL,8867,0.481,4.355,0.918,0.676,0.138,0.547,0.842,0.702,0.591,-1.134,0.437,0.196,-0.343,0.066,0.362,0.221,0.11,2
GPC,8867,0.079,3.819,0.243,0.181,0.029,-0.024,0.024,0.098,-0.262,-0.708,0.164,0.103,-0.05,-0.102,-0.055,0.019,-0.341,2
GPN,8867,-0.134,5.031,0.374,-0.262,0.15,-0.11,0.259,-0.634,0.288,-0.824,0.508,-0.128,0.283,0.024,0.393,-0.5,0.422,2
GRMN,8867,0.382,4.513,0.243,0.548,0.113,0.37,0.497,0.195,0.643,-2.825,-0.139,0.166,-0.269,-0.012,0.115,-0.187,0.261,2
GS,8867,0.467,4.077,0.354,0.587,0.319,0.198,0.334,0.361,1.218,-1.201,-0.113,0.12,-0.148,-0.269,-0.133,-0.106,0.751,2
GTLB,8361,-0.424,10.428,1.035,-0.977,-0.324,-0.242,-0.121,-0.606,-1.298,-4.896,1.46,-0.553,0.1,0.182,0.303,-0.182,-0.874,1
GWW,8867,0.361,3.502,0.439,0.491,0.128,0.235,0.706,0.896,0.594,-1.229,0.078,0.13,-0.233,-0.126,0.346,0.535,0.234,2
HAL,8867,0.323,5.837,0.519,0.487,0.099,0.245,0.413,0.337,-0.287,0.917,0.196,0.164,-0.224,-0.078,0.09,0.014,-0.61,2
HAS,8867,0.116,4.581,0.834,0.11,-0.092,-0.144,0.77,-0.329,0.024,-0.814,0.718,-0.007,-0.209,-0.26,0.653,-0.445,-0.093,2
HBAN,8867,0.388,4.452,0.131,0.422,0.395,0.368,0.116,0.569,0.027,-2.498,-0.257,0.034,0.007,-0.02,-0.272,0.18,-0.361,0
HCA,8867,0.418,4.195,0.177,0.437,0.357,0.212,0.194,0.315,-0.016,-3.727,-0.242,0.018,-0.061,-0.207,-0.225,-0.104,-0.434,0
HD,8867,0.17,3.378,-0.124,0.238,0.354,0.106,-0.033,-0.23,0.95,-1.37,-0.295,0.068,0.184,-0.064,-0.203,-0.4,0.78,0
HES,7074,0.438,5.157,1.07,0.444,-0.194,0.466,0.594,0.243,1.079,1.968,0.632,0.006,-0.632,0.029,0.157,-0.194,0.641,2
HIG,8867,0.545,2.891,1.032,0.771,0.497,0.179,1.076,1.03,0.818,-1.567,0.487,0.226,-0.048,-0.366,0.53,0.485,0.273,2
HII,8866,0.214,4.38,1.264,0.055,0.123,0.365,0.47,0.035,-0.156,-1.274,1.05,-0.16,-0.092,0.151,0.256,-0.179,-0.371,2
HLT,8867,0.578,3.712,1.137,0.495,0.68,0.724,0.711,0.708,0.251,-0.795,0.559,-0.083,0.102,0.146,0.133,0.13,-0.327,2
HMC,8867,0.037,3.646,0.188,0.117,-0.163,0.058,0.287,0.198,0.251,-1.995,0.151,0.081,-0.2,0.021,0.25,0.161,0.214,2
HOLX,8328,0.04,3.071,0.487,0.136,-0.077,-0.307,0.197,-0.612,0.12,-1.487,0.447,0.096,-0.117,-0.347,0.157,-0.652,0.08,2
HON,8867,0.124,4.411,0.32,0.097,0.177,0.254,0.511,0.234,0.302,-0.455,0.196,-0.026,0.054,0.131,0.387,0.11,0.179,2
HOOD,8739,0.45,9.836,-0.264,-0.078,0.078,0.595,-1.311,0.518,0.469,-4.512,-0.714,-0.529,-0.372,0.144,-1.762,0.068,0.019,0
HPE,8867,0.697,6.079,0.365,0.953,0.945,0.913,0.311,1.471,0.685,-4.985,-0.333,0.256,0.248,0.216,-0.386,0.774,-0.012,0
HPQ,8867,0.1,4.945,-0.053,0.334,-0.243,0.309,-0.037,0.406,0.551,-0.642,-0.153,0.234,-0.343,0.209,-0.137,0.306,0.451,2
HRL,8867,-0.066,3.355,-0.1,0.0,0.042,-0.098,-0.494,0.246,0.201,-1.581,-0.034,0.066,0.108,-0.032,-0.428,0.312,0.267,0
HSIC,8867,0.013,3.538,0.506,0.093,0.297,-0.276,0.52,-0.193,-0.121,-0.296,0.494,0.08,0.284,-0.288,0.507,-0.206,-0.134,2
HST,8867,0.217,4.201,0.547,0.294,0.219,0.214,0.276,0.251,0.26,-2.572,0.33,0.076,0.001,-0.004,0.059,0.034,0.043,2
HSY,8867,-0.025,3.303,0.0,-0.105,-0.066,0.125,-0.162,-0.124,-0.209,-1.689,0.025,-0.08,-0.041,0.15,-0.137,-0.099,-0.184,0
HUBB,8867,0.527,3.91,0.91,0.79,0.655,0.303,1.083,1.153,0.872,-1.032,0.382,0.263,0.128,-0.224,0.556,0.625,0.345,2
HUBS,8867,0.312,7.504,0.85,0.782,0.579,0.153,0.291,-0.314,0.078,-1.66,0.538,0.47,0.267,-0.159,-0.021,-0.626,-0.234,2
HUM,8867,0.13,5.56,0.56,-0.227,0.045,0.163,0.453,0.239,-0.289,-1.466,0.431,-0.357,-0.085,0.033,0.323,0.109,-0.419,2
HWM,8867,0.856,4.326,0.889,0.981,0.925,0.642,0.788,0.372,0.737,-1.231,0.032,0.125,0.068,-0.214,-0.068,-0.484,-0.12,2
IBKR,8867,0.788,4.773,0.562,0.679,1.171,0.635,0.467,0.288,0.641,-3.232,-0.226,-0.109,0.383,-0.153,-0.321,-0.5,-0.147,0
IBM,8867,0.33,4.537,0.05,0.177,0.326,0.587,0.059,0.461,0.827,-2.623,-0.28,-0.152,-0.004,0.257,-0.271,0.131,0.498,0
ICE,8867,0.259,3.18,-0.038,0.316,0.266,0.216,0.198,-0.175,0.316,0.494,-0.297,0.057,0.007,-0.043,-0.061,-0.433,0.057,0
IDXX,8867,-0.173,4.684,0.265,0.025,-0.186,-0.041,-0.04,0.259,-0.533,-5.292,0.437,0.198,-0.013,0.132,0.132,0.432,-0.361,1
IEX,8867,0.09,3.148,-0.268,0.249,-0.102,0.15,0.268,0.137,0.467,-2.115,-0.358,0.159,-0.191,0.061,0.178,0.048,0.377,2
IFF,8867,0.107,4.434,0.124,-0.098,0.562,-0.063,0.417,0.35,0.126,-2.381,0.018,-0.204,0.456,-0.17,0.31,0.243,0.019,0
ILMN,8867,-0.198,6.23,-0.013,0.53,-0.165,-0.661,0.29,-0.342,0.47,-6.644,0.185,0.728,0.032,-0.463,0.487,-0.144,0.667,1
INCY,8866,0.041,4.186,0.091,0.046,-0.025,-0.237,0.305,-0.208,0.055,-0.674,0.051,0.005,-0.066,-0.278,0.264,-0.248,0.015,2
INTC,8867,-0.085,7.728,-0.05,0.034,-0.304,-0.027,-0.242,-0.276,0.269,-0.994,0.036,0.119,-0.219,0.059,-0.157,-0.191,0.354,0
INTU,8867,0.231,5.236,0.442,0.666,-0.061,-0.025,0.549,0.178,-0.289,-2.327,0.212,0.435,-0.292,-0.255,0.319,-0.053,-0.52,2
INVH,8867,0.088,3.12,0.545,-0.064,0.126,-0.088,0.652,-0.145,-0.082,-0.644,0.457,-0.151,0.038,-0.176,0.564,-0.233,-0.17,2
IOT,8050,0.34,9.627,0.614,0.452,0.629,0.499,0.476,-0.763,0.785,-2.24,0.274,0.112,0.289,0.16,0.136,-1.103,0.445,0
IP,8867,-0.018,4.874,0.55,0.248,-0.26,0.056,0.842,0.318,0.302,-0.909,0.568,0.266,-0.242,0.074,0.86,0.336,0.32,2
IPG,7725,-0.088,3.887,0.505,-0.016,0.084,-0.37,0.382,-0.08,0.014,-3.206,0.593,0.072,0.172,-0.282,0.47,0.009,0.102,1
IQV,8867,-0.047,4.962,-0.669,0.413,0.228,0.029,0.222,0.124,-0.202,-0.376,-0.621,0.46,0.275,0.077,0.27,0.171,-0.155,0
IR,8867,0.493,4.15,0.887,0.626,0.587,0.459,1.02,0.799,0.073,0.279,0.394,0.133,0.094,-0.034,0.527,0.306,-0.42,2
IRM,8867,0.519,4.371,0.543,0.334,0.373,0.508,0.727,0.274,2.233,-0.071,0.024,-0.184,-0.146,-0.01,0.208,-0.244,1.715,2
ISRG,8867,0.117,4.737,-0.041,0.523,0.3,-0.154,0.809,-0.04,0.028,-2.99,-0.157,0.406,0.184,-0.271,0.693,-0.157,-0.089,2
IT,8867,0.182,5.146,0.0,-0.117,0.146,0.26,0.182,-0.37,0.713,0.188,-0.182,-0.299,-0.035,0.078,0.0,-0.551,0.532,0
ITW,8867,0.109,2.947,0.154,0.058,0.306,0.061,0.201,0.124,-0.062,-0.149,0.045,-0.051,0.197,-0.047,0.092,0.015,-0.17,0
IVZ,8867,0.162,5.14,0.196,0.163,0.065,-0.225,0.149,-0.928,-0.771,-4.603,0.033,0.001,-0.097,-0.388,-0.013,-1.09,-0.934,1
J,8867,0.192,3.453,1.233,0.423,0.054,0.025,0.89,-0.085,1.0,-2.179,1.041,0.232,-0.137,-0.166,0.698,-0.276,0.809,2
JBHT,8867,0.214,4.285,0.21,0.621,0.241,0.21,0.681,-0.105,0.302,-4.16,-0.004,0.407,0.028,-0.004,0.468,-0.318,0.088,2
JBL,8867,0.813,5.304,1.164,0.704,0.664,0.542,1.041,0.463,1.713,-0.887,0.351,-0.11,-0.15,-0.271,0.227,-0.351,0.9,2
JBLU,6914,-0.194,7.501,-0.124,0.202,0.12,-0.371,-0.163,-1.617,-0.858,-2.838,0.069,0.396,0.314,-0.177,0.031,-1.423,-0.664,1
JCI,8867,0.478,4.019,0.446,0.641,0.186,0.308,0.911,0.209,0.375,0.415,-0.032,0.163,-0.292,-0.17,0.434,-0.268,-0.103,2
JD,8867,-0.726,7.411,0.153,-0.84,-1.365,-0.774,0.0,0.104,-1.802,-5.765,0.879,-0.114,-0.64,-0.048,0.726,0.83,-1.076,1
JKHY,8867,0.039,3.255,0.394,0.035,-0.165,0.137,0.225,0.205,-0.294,-1.29,0.355,-0.004,-0.204,0.098,0.186,0.166,-0.333,2
JNJ,8867,0.091,2.433,0.099,-0.064,-0.107,0.147,-0.162,0.484,0.09,-1.889,0.009,-0.155,-0.198,0.056,-0.252,0.393,-0.001,0
JNPR,7000,0.096,3.582,-0.079,0.135,-0.027,-0.027,0.221,0.337,-0.172,-0.145,-0.175,0.039,-0.123,-0.123,0.125,0.241,-0.268,2
JPM,8867,0.593,3.453,0.669,0.516,0.23,0.387,0.625,0.452,1.362,0.03,0.076,-0.077,-0.363,-0.206,0.032,-0.141,0.769,2
K,7785,0.072,2.952,0.278,0.025,0.012,-0.014,0.199,0.025,-0.109,0.17,0.206,-0.047,-0.06,-0.086,0.127,-0.047,-0.181,2
KDP,8867,0.15,2.958,0.313,0.209,0.15,0.058,0.32,0.344,0.273,0.326,0.164,0.059,0.0,-0.091,0.17,0.194,0.123,2
KEY,8867,0.219,5.182,-0.06,0.503,0.425,0.063,-0.272,0.0,1.686,-2.375,-0.278,0.284,0.207,-0.156,-0.49,-0.219,1.467,0
KEYS,8867,0.494,4.828,0.105,0.792,0.759,0.39,0.509,0.624,1.136,-2.258,-0.389,0.298,0.265,-0.104,0.015,0.13,0.642,0
KGC,6663,1.047,5.898,1.341,1.338,1.349,0.896,0.924,1.115,2.273,-0.745,0.294,0.292,0.302,-0.151,-0.123,0.068,1.226,2
KHC,8867,-0.162,3.135,-0.081,-0.126,-0.261,-0.126,-0.261,-0.235,0.068,-1.27,0.081,0.036,-0.099,0.036,-0.099,-0.073,0.231,0
KIM,8867,0.12,3.427,0.707,0.138,0.128,-0.165,0.748,-0.046,-0.053,-0.794,0.587,0.018,0.008,-0.285,0.628,-0.166,-0.174,2
KKR,8867,0.403,5.292,0.393,0.305,0.053,0.853,0.087,0.27,-0.111,-2.296,-0.01,-0.098,-0.349,0.451,-0.315,-0.133,-0.514,0
KLAC,8867,0.767,6.002,1.556,1.034,0.624,0.291,0.967,0.976,0.667,-0.304,0.79,0.268,-0.143,-0.476,0.2,0.209,-0.1,2
KMB,8867,-0.08,2.881,-0.293,-0.074,-0.144,-0.18,-0.271,0.2,0.473,-2.045,-0.213,0.006,-0.065,-0.101,-0.191,0.28,0.553,0
KMI,8867,0.304,3.321,0.945,0.36,0.101,0.422,0.759,0.136,0.557,-2.277,0.641,0.056,-0.203,0.118,0.455,-0.168,0.253,2
KMX,8867,-0.069,5.929,-0.472,0.557,0.165,-0.35,-0.028,0.411,0.882,-1.556,-0.403,0.626,0.234,-0.281,0.041,0.48,0.952,2
KO,8867,0.11,2.303,0.09,0.0,0.141,0.209,0.14,0.545,0.466,-0.406,-0.02,-0.11,0.031,0.098,0.029,0.434,0.355,0
KR,8867,0.136,3.749,0.812,0.219,0.262,0.089,0.817,0.63,0.11,-1.793,0.676,0.082,0.126,-0.047,0.68,0.494,-0.026,2
KVUE,5636,-0.217,3.664,-0.189,-0.386,-0.513,0.165,0.233,-0.728,-1.954,-0.573,0.029,-0.169,-0.295,0.382,0.451,-0.511,-1.737,1
L,8867,0.449,2.548,1.107,0.574,0.384,0.214,0.788,0.406,0.175,-0.857,0.657,0.125,-0.066,-0.235,0.338,-0.043,-0.274,2
LCID,8744,-1.904,11.12,-0.447,-1.973,-2.657,-1.534,-1.74,-2.402,-3.037,-7.488,1.457,-0.069,-0.752,0.371,0.164,-0.497,-1.133,1
LDOS,8867,0.343,3.99,-0.357,0.17,0.487,0.446,-0.131,0.154,0.216,-1.343,-0.7,-0.173,0.144,0.103,-0.473,-0.188,-0.127,0
LEN,8867,0.009,4.669,-0.235,0.452,0.126,-0.279,-0.196,-0.153,0.355,-2.573,-0.244,0.443,0.117,-0.288,-0.205,-0.162,0.346,0
LH,8867,0.102,3.276,0.148,0.278,0.148,0.023,-0.058,-0.028,0.749,-0.792,0.046,0.176,0.046,-0.079,-0.16,-0.13,0.647,2
LHX,8867,0.182,3.37,0.275,0.139,0.319,0.137,0.257,0.265,-0.072,0.335,0.093,-0.043,0.137,-0.045,0.075,0.083,-0.254,2
LI,8867,-0.489,8.665,0.197,-0.644,-1.222,-0.687,0.397,-0.909,-2.854,-3.213,0.686,-0.155,-0.733,-0.198,0.886,-0.419,-2.365,1
LII,8867,0.137,4.429,0.579,0.113,-0.102,-0.336,0.221,0.061,1.623,-3.67,0.442,-0.024,-0.239,-0.473,0.084,-0.076,1.486,2
LIN,8867,0.361,2.756,0.551,0.254,0.229,0.625,0.293,0.463,0.093,-0.824,0.19,-0.107,-0.133,0.264,-0.069,0.102,-0.268,0
LITE,8867,0.525,8.082,0.545,0.042,0.021,0.439,0.853,1.565,0.387,-2.907,0.02,-0.483,-0.503,-0.085,0.329,1.041,-0.138,2
LKQ,8867,0.0,3.951,0.082,0.115,0.08,-0.158,0.173,0.406,-0.616,-0.348,0.082,0.115,0.08,-0.158,0.173,0.406,-0.616,2
LLY,8867,0.724,4.69,0.927,0.34,0.701,0.614,-0.155,1.249,-0.129,-3.92,0.204,-0.384,-0.023,-0.109,-0.879,0.525,-0.853,0
LMT,8867,0.232,3.475,0.237,0.203,0.359,0.315,0.279,0.191,0.169,0.231,0.004,-0.03,0.127,0.082,0.046,-0.042,-0.064,0
LNC,8867,0.466,5.841,0.391,0.894,0.49,0.231,0.449,0.134,0.914,-0.763,-0.075,0.428,0.024,-0.235,-0.016,-0.332,0.448,2
LNG,8867,0.327,4.117,1.194,0.486,0.054,0.104,1.008,0.074,0.486,-1.93,0.867,0.159,-0.273,-0.223,0.681,-0.253,0.159,2
LNT,8867,0.255,2.682,0.268,0.534,0.514,0.188,0.627,0.071,0.514,0.039,0.013,0.279,0.26,-0.067,0.372,-0.184,0.259,2
LOW,8867,0.097,3.595,0.075,0.128,0.424,-0.117,0.234,-0.292,0.665,-0.785,-0.022,0.031,0.328,-0.213,0.138,-0.389,0.569,2
LRCX,8867,0.889,6.473,1.22,1.646,0.781,0.777,0.619,0.668,1.886,-0.973,0.331,0.757,-0.108,-0.111,-0.27,-0.221,0.997,2
LULU,8867,-0.258,5.99,-0.581,-0.396,-0.218,0.201,-1.062,0.096,0.816,-4.168,-0.323,-0.138,0.04,0.459,-0.804,0.354,1.074,0
LUV,8867,0.179,5.525,0.184,0.13,-0.417,-0.031,0.773,0.24,0.286,-3.938,0.005,-0.049,-0.596,-0.21,0.595,0.061,0.108,1
LVS,8867,-0.149,5.526,0.29,-0.179,-0.353,-0.212,0.284,-0.088,0.531,-3.886,0.439,-0.029,-0.204,-0.063,0.433,0.061,0.68,1
LW,8867,0.436,5.43,0.324,0.331,0.238,0.04,0.198,-0.156,0.184,-12.809,-0.113,-0.105,-0.199,-0.396,-0.239,-0.592,-0.252,1
LYB,8867,-0.171,4.559,0.18,0.101,-0.308,-0.442,0.302,-0.133,0.134,-3.441,0.351,0.271,-0.138,-0.271,0.473,0.038,0.305,1
LYFT,8867,-0.701,9.609,-0.496,-0.557,-1.586,-0.427,-0.785,-1.171,-0.668,-6.393,0.204,0.144,-0.886,0.274,-0.084,-0.47,0.033,1
LYV,8867,0.475,4.707,0.278,0.421,0.398,0.269,0.253,0.405,0.166,-2.485,-0.197,-0.054,-0.077,-0.206,-0.222,-0.07,-0.309,0
MA,8867,0.385,3.29,0.699,0.594,0.429,0.125,0.697,0.17,-0.114,-0.019,0.314,0.209,0.044,-0.26,0.312,-0.215,-0.499,2
MAA,8867,-0.037,3.023,0.142,-0.242,0.129,0.03,-0.149,0.375,-0.0,-1.053,0.179,-0.205,0.166,0.067,-0.112,0.412,0.037,0
MAR,8867,0.558,4.045,0.826,0.669,0.409,0.387,0.781,0.855,0.107,-1.777,0.268,0.112,-0.149,-0.171,0.223,0.297,-0.451,2
MAS,8867,-0.114,4.204,0.074,-0.434,0.194,-0.318,0.397,-0.547,0.374,-2.84,0.188,-0.32,0.308,-0.205,0.51,-0.433,0.488,1
MCD,8867,0.095,2.454,0.051,0.187,0.25,0.056,-0.088,0.144,0.168,-0.553,-0.044,0.092,0.155,-0.039,-0.183,0.049,0.073,0
MCHP,8867,-0.081,6.042,0.525,0.188,-0.082,-0.168,0.961,-0.352,-0.592,-1.945,0.607,0.269,-0.001,-0.087,1.042,-0.27,-0.511,1
